title,posterURL,planArea,planAddr,planLat,planLon,planCounty
불꽃처럼 나비처럼,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/a19e4e7e.jpg,해남 고산 윤선도 유적지,전남 해남군 해남읍 연동리 82,34.5512819331475,126.622552728792,해남군
아부지,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/91/JNFC_27_23.jpg,순천드라마촬영장,전남 순천시 조례동 23,34.9584569682125,127.538244213124,순천시
킹콩을 들다,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/92/JNFC_26_22.jpg,보성 강골 마을,전남 보성군 득량면 오봉리 402-3,34.7626123663559,127.185780432864,보성군
마더,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/93/JNFC_25_20.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
카인과 아벨,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/26c5d5ea.jpg,고흥 소록도,전남 고흥군 도양읍 소록리 산 152,34.5107738852421,127.118329678403,고흥군
쌍화점,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/94/JNFC_24_15.jpg,구례 천은사,전남 구례군 광의면 방광리 70,35.2738799672822,127.476320349808,구례군
"사랑해, 울지마",https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/f0e8e563.jpg,여수터미널,전남 여수시 오림동 390,34.75820210985,127.71699801055,여수시
미인도,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/95/JNFC_23_9.jpg,선암사,경남 진주시 수곡면 자매리 493-1,35.2483599737454,127.927755000712,
신기전,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/96/JNFC_22_21.jpg,송광사,전남 순천시 송광면 신평리 12,35.00218023003931,127.2761303580498,순천시
님은 먼곳에,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/97/JNFC_21_27.jpg,구례 운조루,전남 구례군 토지면 오미리 103,35.20616488305656,127.51535802855278,구례군
날라리 종부전,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/0f84a805.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
서울이 보이냐,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/98/JNFC_20_10.jpg,섬진강기차마을,전남 곡성군 오곡면 오지리 770-5,35.2795563224554,127.30786766033,곡성군
마지막 선물,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/99/JNFC_19_14.jpg,남열해돋이해수욕장,전남 고흥군 영남면 남열리 175-2,34.5798317757747,127.486612160145,고흥군
마지막 선물... 귀휴,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/6072e4b3.jpg,고흥군 남열해돋이해수욕장,전남 고흥군 영남면 남열리 175-2,34.5798317757747,127.486612160145,고흥군
어린왕자,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/6c374b17.jpg,고흥군 연홍도 연홍미술관,전남 고흥군 금산면 신전리 880,34.4618852660965,127.089449732967,고흥군
만남의 광장,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/8eb89a44.jpg,장성 영화마을,전남 장성군 북일면 문암리 687,35.395146138846336,126.7341845936116,장성군
D-WAR,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/fd10096e.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
기담,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/1e6f6d55.jpg,목포근대역사관 1관,전남 목포시 대의동2가 1-5,34.787532306488664,126.38208646508214,목포시
화려한 휴가,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/90bb73a8.jpg,목포 유달동,전남 목포시 온금동 6-13,34.78774657629823,126.3749731617578,목포시
천년학,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/100/JNFC_18_33.jpg,장흥 [천년학] 촬영지,전남 장흥군 회진면 회진리 1740-1,34.4666309402453,126.940824953713,장흥군
극락도 살인사건,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/b16265a9.jpg,신안 가거도,전남 신안군 흑산면 가거도리,34.0658864248533,125.11874890596,신안군
우아한 세계,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/101/JNFC_17_16.jpg,순천교도소,전남 순천시 서면 선평리 448-2,34.9916726987164,127.497430315981,순천시
마파도2,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/102/JNFC_16_15.jpg,계마포구,전남 영광군 홍농읍 계마리,35.392965079614,126.406900144555,영광군
그해 여름,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/103/JNFC_15_14.jpg,순천드라마촬영장,전남 순천시 조례동 23,34.9584569682125,127.538244213124,순천시
삼거리극장,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/4f1a961b.jpg,곡성읍,전남 곡성군 곡성읍 월봉리 352,35.26575590192931,127.26152807379448,곡성군
열혈남아,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/d85b34b0.jpg,벌교읍,전남 보성군 벌교읍 회정리 719-6,34.8396342769046,127.356481720116,보성군
가을로,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/104/JNFC_14_21.jpg,소쇄원,전남 담양군 가사문학면 지곡리 123,35.18414216778639,127.01226351442529,담양군
타짜,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/105/JNFC_13_11.jpg,광양 태금역,전남 광양시 금호동 796-2,34.930440716554,127.715341282735,광양시
아이스케키,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/106/JNFC_12_26.jpg,백야도,전남 여수시 화정면 백야리,34.6152785576959,127.637852072192,여수시
내 청춘에게 고함,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/967b8b5f.jpg,해남군,전남 해남군 송지면 송호리 1161,34.298519778347504,126.52709485983615,해남군
공필두,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/107/JNFC_11_11.jpg,완도 신지대교,전남 완도군 신지면 송곡리 산 243-1,34.3350289758913,126.748504194838,완도군
연리지,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/89f87208.jpg,순천 성가롤로병원,전남 순천시 조례동 1742,34.964702679494,127.543689705737,순천시
봄의 왈츠,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/a210081d.jpg,신안군,전남 신안군 임자면 대기리,35.0941887579171,126.089018756356,신안군
사랑과 야망,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/709d7b33.jpg,순천드라마촬영장,전남 순천시 조례동 23,34.9584569682125,127.538244213124,순천시
서울1945,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/8a387b30.jpg,순천드라마촬영장,전남 순천시 조례동 23,34.9584569682125,127.538244213124,순천시
청연,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/108/JNFC_10_19.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
너는 내 운명,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/109/JNFC_9_9.jpg,순천의료원,전남 순천시 매곡동 130-3,34.9579896173025,127.483034046369,순천시
천군,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/110/JNFC_8_12.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
혈의 누,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/111/JNFC_7_15.jpg,여수 화양면 호두마을,전남 여수시 화양면 용주리,34.7089236854399,127.637343176728,여수시
여선생 VS 여제자,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/112/JNFC_6_26.jpg,여수 자산초등학교,전남 여수시 소라면 죽림리 1126,34.7638413214502,127.640670451516,여수시
거미숲,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/113/JNFC_5_13.jpg,선암사,경남 진주시 수곡면 자매리 493-1,35.2483599737454,127.927755000712,
알포인트,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/114/JNFC_4_14.jpg,담양 죽녹원,전남 담양군 담양읍 향교리 산 44,35.32783714533351,126.98593088715316,담양군
시실리 2km,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/115/JNFC_3_20.jpg,순천 시내,전남 순천시 덕암동 151,34.9412398788129,127.510870917487,순천시
바람의 파이터,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/116/JNFC_2_15.jpg,광양 매화마을,전남 광양시 중동 1384-6,34.9409975113708,127.687879209249,광양시
선택,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/cac99331.jpg,돌산대교,전남 여수시 남산동 56-5,34.7307428628672,127.73469747694,여수시
인어공주,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/117/JNFC_1_17.jpg,여수 금오도,전남 여수시 남면 두모리,34.5226932830418,127.750413585796,여수시
하류인생,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/730e5c46.jpg,광양시내,전남 광양시 광양읍 칠성리 964-1,34.96926895541228,127.579570329175,광양시
아홉살 인생,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/4ab2843d.jpg,구례시내,전남 구례군 마산면 사도리 681-9,35.214583074311,127.498865449796,구례군
