ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCMPLPO23N000000148","장소","관광지","16502352","영화외출촬영지",,,"60515","드라마/영화촬영지","5123010700100140000","강원특별자치도","삼척시","갈천동",,"14","5123010700","5123053000","512304472329","테마타운길","39","129.16978314506","37.4670918947453","마사476421","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000149","장소","관광지","16502354","궁드라마촬영지",,,"60515","드라마/영화촬영지","4713011200105060001","경상북도","경주시","인왕동",,"506-1","4713011200","4713060500","471303305047","원화로","102","129.226416937444","35.8342335429642","마마559611","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000150","장소","관광지","16502355","러브레터촬영지",,,"60515","드라마/영화촬영지","5173037025110970000","강원특별자치도","횡성군","서원면","유현리","1097","5173037025","5173037000","517304478076","경강로유현1길","30","127.8186209729","37.529196497349","라사281478","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000151","장소","관광지","16509313","가은오픈세트장",,,"60515","드라마/영화촬영지","4728025321200130005","경상북도","문경시","가은읍","왕능리","산13-5","4728025321","4728025300","472804736524","왕능길","108-8","128.065573715058","36.653049021576","라바505507","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000152","장소","관광지","16521872","인어공주촬영지",,,"60515","드라마/영화촬영지","5011033021103070000","제주특별자치도","제주시","우도면","연평리","307","5011033021","5011033000",,,,"126.969885658139","33.4989863080586","다다507009","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000153","장소","관광지","16547746","아름다운시절영화촬영지",,,"60515","드라마/영화촬영지","4575040024107080000","전라북도","임실군","덕치면","천담리","708","4575040024","4575040000","457504631320","천담2길","286-1","127.175026382183","35.4756740831923","다마705200","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000154","장소","관광지","16584263","장옥정세트장",,,"60515","드라마/영화촬영지","4128511000102130000","경기도","고양시 일산동구","지영동",,"213","4128511000","4128560000","412853193007","공릉천로","411","126.828152767923","37.7226069599234","다사407694","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000155","장소","관광지","16586388","학교2013촬영지",,,"60515","드라마/영화촬영지","4111513800107200000","경기도","수원시 팔달구","화서동",,"720","4111513800","4111569000","411153175040","일월로","50","126.978843439903","37.287797497494","다사538211","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000156","장소","관광지","16586391","전우치촬영지",,,"60515","드라마/영화촬영지","4111512300100060002","경기도","수원시 팔달구","남창동",,"6-2","4111512300","4111574000","411153012006","정조로","825","127.013530511457","37.2819089772644","다사568204","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000157","장소","관광지","16586393","그겨울바람이분다촬영지",,,"60515","드라마/영화촬영지","5111040028104120000","강원특별자치도","춘천시","남산면","서천리","412","5111040028","5111040000","511104454759","햇골길","80","127.542761251759","37.8320448050192","라사037813","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
